Attaching to gzip_envoy-stats_1
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.filters.http: envoy.bandwidth_limit, envoy.buffer, envoy.cors, envoy.csrf, envoy.ext_authz, envoy.ext_proc, envoy.fault, envoy.filters.http.adaptive_concurrency, envoy.filters.http.admission_control, envoy.filters.http.alternate_protocols_cache, envoy.filters.http.aws_lambda, envoy.filters.http.aws_request_signing, envoy.filters.http.bandwidth_limit, envoy.filters.http.buffer, envoy.filters.http.cache, envoy.filters.http.cdn_loop, envoy.filters.http.composite, envoy.filters.http.compressor, envoy.filters.http.cors, envoy.filters.http.csrf, envoy.filters.http.decompressor, envoy.filters.http.dynamic_forward_proxy, envoy.filters.http.dynamo, envoy.filters.http.ext_authz, envoy.filters.http.ext_proc, envoy.filters.http.fault, envoy.filters.http.grpc_http1_bridge, envoy.filters.http.grpc_http1_reverse_bridge, envoy.filters.http.grpc_json_transcoder, envoy.filters.http.grpc_stats, envoy.filters.http.grpc_web, envoy.filters.http.header_to_metadata, envoy.filters.http.health_check, envoy.filters.http.ip_tagging, envoy.filters.http.jwt_authn, envoy.filters.http.local_ratelimit, envoy.filters.http.lua, envoy.filters.http.oauth2, envoy.filters.http.on_demand, envoy.filters.http.original_src, envoy.filters.http.ratelimit, envoy.filters.http.rbac, envoy.filters.http.router, envoy.filters.http.set_metadata, envoy.filters.http.stateful_session, envoy.filters.http.tap, envoy.filters.http.wasm, envoy.grpc_http1_bridge, envoy.grpc_json_transcoder, envoy.grpc_web, envoy.health_check, envoy.http_dynamo_filter, envoy.ip_tagging, envoy.local_rate_limit, envoy.lua, envoy.rate_limit, envoy.router, match-wrapper
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.http.stateful_session: envoy.http.stateful_session.cookie
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.bootstrap: envoy.bootstrap.wasm, envoy.extensions.network.socket_interface.default_socket_interface
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.filters.udp_listener: envoy.filters.udp.dns_filter, envoy.filters.udp_listener.udp_proxy
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.wasm.runtime: envoy.wasm.runtime.null, envoy.wasm.runtime.v8
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.rbac.matchers: envoy.rbac.matchers.upstream_ip_port
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.resource_monitors: envoy.resource_monitors.fixed_heap, envoy.resource_monitors.injected_resource
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.dubbo_proxy.filters: envoy.filters.dubbo.router
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.formatter: envoy.formatter.metadata, envoy.formatter.req_without_query
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.quic.server.crypto_stream: envoy.quic.crypto_stream.server.quiche
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.http.cache: envoy.extensions.http.cache.simple
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.retry_host_predicates: envoy.retry_host_predicates.omit_canary_hosts, envoy.retry_host_predicates.omit_host_metadata, envoy.retry_host_predicates.previous_hosts
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.http.original_ip_detection: envoy.http.original_ip_detection.custom_header, envoy.http.original_ip_detection.xff
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.934][1][info][main] [source/server/server.cc:394]   envoy.dubbo_proxy.protocols: dubbo
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.940][1][info][main] [source/server/server.cc:442] HTTP header map info:
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.941][1][info][main] [source/server/server.cc:445]   request header map: 656 bytes: :authority,:method,:path,:protocol,:scheme,accept,accept-encoding,access-control-request-headers,access-control-request-method,authentication,authorization,cache-control,cdn-loop,connection,content-encoding,content-length,content-type,expect,grpc-accept-encoding,grpc-timeout,if-match,if-modified-since,if-none-match,if-range,if-unmodified-since,keep-alive,origin,pragma,proxy-connection,proxy-status,referer,te,transfer-encoding,upgrade,user-agent,via,x-client-trace-id,x-envoy-attempt-count,x-envoy-decorator-operation,x-envoy-downstream-service-cluster,x-envoy-downstream-service-node,x-envoy-expected-rq-timeout-ms,x-envoy-external-address,x-envoy-force-trace,x-envoy-hedge-on-per-try-timeout,x-envoy-internal,x-envoy-ip-tags,x-envoy-max-retries,x-envoy-original-path,x-envoy-original-url,x-envoy-retriable-header-names,x-envoy-retriable-status-codes,x-envoy-retry-grpc-on,x-envoy-retry-on,x-envoy-upstream-alt-stat-name,x-envoy-upstream-rq-per-try-timeout-ms,x-envoy-upstream-rq-timeout-alt-response,x-envoy-upstream-rq-timeout-ms,x-envoy-upstream-stream-duration-ms,x-forwarded-client-cert,x-forwarded-for,x-forwarded-host,x-forwarded-proto,x-ot-span-context,x-request-id
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.941][1][info][main] [source/server/server.cc:445]   request trailer map: 128 bytes: 
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.941][1][info][main] [source/server/server.cc:445]   response header map: 432 bytes: :status,access-control-allow-credentials,access-control-allow-headers,access-control-allow-methods,access-control-allow-origin,access-control-expose-headers,access-control-max-age,age,cache-control,connection,content-encoding,content-length,content-type,date,etag,expires,grpc-message,grpc-status,keep-alive,last-modified,location,proxy-connection,proxy-status,server,transfer-encoding,upgrade,vary,via,x-envoy-attempt-count,x-envoy-decorator-operation,x-envoy-degraded,x-envoy-immediate-health-check-fail,x-envoy-ratelimited,x-envoy-upstream-canary,x-envoy-upstream-healthchecked-cluster,x-envoy-upstream-service-time,x-request-id
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.941][1][info][main] [source/server/server.cc:445]   response trailer map: 152 bytes: grpc-message,grpc-status
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.943][1][info][main] [source/server/server.cc:786] runtime: {}
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.943][1][info][admin] [source/server/admin/admin.cc:134] admin address: 0.0.0.0:9901
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.943][1][info][config] [source/server/configuration_impl.cc:127] loading tracing configuration
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.943][1][info][config] [source/server/configuration_impl.cc:87] loading 0 static secret(s)
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.943][1][info][config] [source/server/configuration_impl.cc:93] loading 2 cluster(s)
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.945][1][info][config] [source/server/configuration_impl.cc:97] loading 2 listener(s)
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.950][1][info][config] [source/server/configuration_impl.cc:109] loading stats configuration
[36menvoy-stats_1    |[0m [2022-04-06 05:50:53.972][1][info][main] [source/server/server.cc:882] starting main dispatch loop
[36menvoy-stats_1    |[0m [2022-04-06 05:50:54.040][1][info][runtime] [source/common/runtime/runtime_impl.cc:462] RTDS has finished initialization
[36menvoy-stats_1    |[0m [2022-04-06 05:50:54.040][1][info][upstream] [source/common/upstream/cluster_manager_impl.cc:209] cm init: all clusters initialized
[36menvoy-stats_1    |[0m [2022-04-06 05:50:54.040][1][info][main] [source/server/server.cc:863] all clusters initialized. initializing init manager
[36menvoy-stats_1    |[0m [2022-04-06 05:50:54.040][1][info][config] [source/server/listener_manager_impl.cc:788] all dependencies initialized. starting workers
[36menvoy-stats_1    |[0m [2022-04-06 05:50:54.042][1][warning][main] [source/server/server.cc:761] there is no configured limit to the number of allowed active connections. Set a limit via the runtime key overload.global_downstream_max_connections
